"percent_total","domain","owner","owner_country","owner_lineage"
"100.0","abcstatics.com","","",""
"100.0","adobedtm.com","Adobe Experience Cloud","US","Adobe Experience Cloud > Adobe Systems"
"100.0","adsafeprotected.com","Integral Ad Science","US","Integral Ad Science"
"100.0","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"100.0","demdex.net","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Experience Cloud > Adobe Systems"
"100.0","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"100.0","everesttech.net","Adobe Experience Cloud","US","Adobe Experience Cloud > Adobe Systems"
"100.0","evolok.net","","",""
"100.0","facebook.net","Facebook","US","Facebook"
"100.0","google.com","Google","US","Google > Alphabet"
"100.0","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"100.0","idalgo-hosting.com","","",""
"100.0","mrf.io","","",""
"100.0","newrelic.com","New Relic","US","New Relic"
"100.0","newsroom.bi","","",""
"100.0","nr-data.net","New Relic","US","New Relic"
"100.0","privacy-center.org","","",""
"100.0","sensic.net","GfK","DE","GfK"
"100.0","vocstatic.com","","",""
"100.0","wemass.com","","",""
