"percent_total","domain","owner","owner_country","owner_lineage"
"100.0","adobedc.net","","",""
"100.0","adobedtm.com","Adobe Experience Cloud","US","Adobe Experience Cloud > Adobe Systems"
"100.0","arcpublishing.com","","",""
"100.0","captcha-delivery.com","","",""
"100.0","demdex.net","Adobe Audience Manager","US","Adobe Audience Manager > Adobe Experience Cloud > Adobe Systems"
"100.0","google.com","Google","US","Google > Alphabet"
"100.0","mrf.io","","",""
"100.0","newsroom.bi","","",""
"100.0","omtrdc.net","Adobe Experience Cloud","US","Adobe Experience Cloud > Adobe Systems"
"100.0","prisa.com","","",""
"100.0","prisamedia.com","","",""
"100.0","prisasd.com","","",""
"100.0","privacy-center.org","","",""
"100.0","sensic.net","GfK","DE","GfK"
"100.0","wemass.com","","",""
