"percent_total","domain","owner","owner_country","owner_lineage"
"100.0","amazon-adsystem.com","Amazon Marketing Services","US","Amazon Marketing Services > Amazon"
"100.0","cxense.com","Cxense","NO","Cxense"
"100.0","doubleclick.net","DoubleClick","US","DoubleClick > Google > Alphabet"
"100.0","ebxcdn.com","","",""
"100.0","facebook.com","Facebook","US","Facebook"
"100.0","facebook.net","Facebook","US","Facebook"
"100.0","google-analytics.com","Google Analytics","US","Google Analytics > Google > Alphabet"
"100.0","google.com","Google","US","Google > Alphabet"
"100.0","google.es","Google","US","Google > Alphabet"
"100.0","googleadservices.com","AdSense","US","AdSense > Google > Alphabet"
"100.0","googleapis.com","Google APIs","US","Google APIs > Google > Alphabet"
"100.0","googlesyndication.com","AdSense","US","AdSense > Google > Alphabet"
"100.0","googletagmanager.com","Google Tag Manager","US","Google Tag Manager > Google > Alphabet"
"100.0","jquery.com","JS Foundation","US","JS Foundation"
"100.0","jsdelivr.net","jsDelivr","US","jsDelivr > Prospect One"
"100.0","marca.com","","",""
"100.0","mrf.io","","",""
"100.0","newsroom.bi","","",""
"100.0","ocmtag.com","","",""
"100.0","ocmthood.com","","",""
"100.0","permutive.com","Permutive","UK","Permutive"
"100.0","piano.io","","",""
"100.0","privacy-center.org","","",""
"100.0","scorecardresearch.com","ScorecardResearch","US","ScorecardResearch > comScore"
"100.0","taboola.com","Taboola","US","Taboola"
"100.0","tinypass.com","","",""
"100.0","tiqcdn.com","Tealium","US","Tealium"
"100.0","tradedoubler.com","Tradedoubler","SE","Tradedoubler > Artefact"
"100.0","uecdn.es","","",""
"100.0","unidadeditorial.es","","",""
"100.0","youtube.com","YouTube","US","YouTube > Google > Alphabet"
"100.0","zeotap.com","Zeotap","DE","Zeotap"
"50.0","adtrafficquality.google","","",""
"50.0","creativecdn.com","","",""
"50.0","criteo.com","Criteo","FR","Criteo"
"50.0","criteo.net","Criteo","FR","Criteo"
"50.0","crwdcntrl.net","Lotame","US","Lotame"
"50.0","fusion-platform.com","","",""
"50.0","gstatic.com","Google","US","Google > Alphabet"
"50.0","id5-sync.com","ID5 Technology","UK","ID5 Technology"
"50.0","im-apps.net","","",""
"50.0","mgaru.dev","","",""
"50.0","openxcdn.net","","",""
"50.0","pubmatic.com","PubMatic","US","PubMatic"
"50.0","rtbhouse.com","","",""
"50.0","sensic.net","GfK","DE","GfK"
"50.0","spadsync.com","","",""
"50.0","yahoo.com","Yahoo","US","Yahoo > Verizon Media > Verizon"
